inchikey_connectivity,split,n_records,median_pchembl,min_pchembl,max_pchembl,conflict_T6,conflict_T5,label_T6,label_T5
AACXOSPRTYPFDW,training_pool,1,5.85,5.85,5.85,False,False,0.0,1.0
AALGZYJPWKHVMZ,training_pool,1,4.63,4.63,4.63,False,False,0.0,0.0
AALLYEKQMKRVGR,training_pool,1,7.81,7.81,7.81,False,False,1.0,1.0
ABNWMVURYILCJQ,training_pool,1,4.45,4.45,4.45,False,False,0.0,0.0
ABPABQXEIYHSAF,training_pool,1,6.24,6.24,6.24,False,False,1.0,1.0
ACFQQDXFCVFBIX,training_pool,1,5.01,5.01,5.01,False,False,0.0,1.0
ACTXCQHXPKCRIZ,training_pool,1,4.85,4.85,4.85,False,False,0.0,0.0
ACVGWSKVRYFWRP,training_pool,1,5.06,5.06,5.06,False,False,0.0,1.0
ADKQVMYWICSUOZ,training_pool,1,5.82,5.82,5.82,False,False,0.0,1.0
ADUDQKMQQHYYGO,training_pool,2,6.035,5.71,6.36,False,False,1.0,1.0
AEALBEZJYDCIQP,training_pool,1,4.28,4.28,4.28,False,False,0.0,0.0
AEIGTKUKBWYPFQ,training_pool,3,4.14,4.0,5.16,False,True,0.0,
AEYMEGDJFOGQLY,training_pool,1,6.3,6.3,6.3,False,False,1.0,1.0
AFDMADPROREDQJ,training_pool,1,5.34,5.34,5.34,False,False,0.0,1.0
AHEZYKGGUDUOBF,training_pool,1,4.25,4.25,4.25,False,False,0.0,0.0
AHIOUXABOCYPEI,training_pool,1,5.5,5.5,5.5,False,False,0.0,1.0
AIRAUYDAHZSVQQ,training_pool,1,4.05,4.05,4.05,False,False,0.0,0.0
AIRNGFONAMWZBC,training_pool,1,4.18,4.18,4.18,False,False,0.0,0.0
AIVQANJIFCWFLZ,training_pool,1,4.77,4.77,4.77,False,False,0.0,0.0
AJFTZWGGHJXZOB,training_pool,7,6.1,4.65,8.15,True,True,,
AJOWCZNUUCEEMV,training_pool,1,5.35,5.35,5.35,False,False,0.0,1.0
AJRNYCDWNITGHF,training_pool,1,5.55,5.55,5.55,False,False,0.0,1.0
AJYWXMJXJSEWLW,training_pool,1,4.51,4.51,4.51,False,False,0.0,0.0
AKJVOVLHKQMZDX,training_pool,1,4.48,4.48,4.48,False,False,0.0,0.0
AKTXOQVMWSFEBQ,training_pool,1,6.22,6.22,6.22,False,False,1.0,1.0
ALFPTVYCOSMDFS,training_pool,1,6.1,6.1,6.1,False,False,1.0,1.0
ALOKHRRVYXMQQV,training_pool,1,6.39,6.39,6.39,False,False,1.0,1.0
ALTIXRRWNZGIQY,training_pool,1,4.52,4.52,4.52,False,False,0.0,0.0
AMCNIUKDQHXDEI,training_pool,1,5.01,5.01,5.01,False,False,0.0,1.0
AMPDYFMIFKVPDX,training_pool,1,6.47,6.47,6.47,False,False,1.0,1.0
ANDOOPVMUPEKIY,training_pool,1,4.6,4.6,4.6,False,False,0.0,0.0
ANLQSLCMDUDROE,training_pool,1,4.35,4.35,4.35,False,False,0.0,0.0
ANTSWWWZZVXJCU,training_pool,1,5.41,5.41,5.41,False,False,0.0,1.0
AOEPIGCBPLBJNO,training_pool,1,5.26,5.26,5.26,False,False,0.0,1.0
AOIRPWVDXFUMLO,training_pool,1,4.03,4.03,4.03,False,False,0.0,0.0
AOSAIHVVLGCXQM,training_pool,1,5.75,5.75,5.75,False,False,0.0,1.0
APIXQVBCVVGESH,training_pool,1,4.14,4.14,4.14,False,False,0.0,0.0
AQJASLQQCCUDQH,training_pool,1,4.11,4.11,4.11,False,False,0.0,0.0
AQYNYSMSLUBEKD,training_pool,1,4.32,4.32,4.32,False,False,0.0,0.0
ARBNKJFPDYRWBW,training_pool,1,4.47,4.47,4.47,False,False,0.0,0.0
ARDUNDMCGGZTSG,training_pool,1,5.15,5.15,5.15,False,False,0.0,1.0
ARHJMINBTFKHQC,training_pool,1,7.19,7.19,7.19,False,False,1.0,1.0
ASRZEXHEXSQIBP,training_pool,1,5.6,5.6,5.6,False,False,0.0,1.0
ATGNWRJVESLUOP,training_pool,1,4.11,4.11,4.11,False,False,0.0,0.0
AUDIKJKYMGBIIN,training_pool,1,5.72,5.72,5.72,False,False,0.0,1.0
AURNZDRKZMLHPN,training_pool,1,4.74,4.74,4.74,False,False,0.0,0.0
AVACRGXQKYUNIL,training_pool,1,6.0,6.0,6.0,False,False,1.0,1.0
AVIBDSHVTBXTQH,training_pool,1,4.04,4.04,4.04,False,False,0.0,0.0
AXLIJRCKRUPBPQ,training_pool,1,4.0,4.0,4.0,False,False,0.0,0.0
AYSHGUSXVQWYKC,training_pool,1,4.58,4.58,4.58,False,False,0.0,0.0
AZQDMWIESRGIRB,training_pool,1,6.5,6.5,6.5,False,False,1.0,1.0
AZYYTQZIXMYIPW,training_pool,1,5.83,5.83,5.83,False,False,0.0,1.0
BBOGYKPAKFQZFU,training_pool,1,7.1,7.1,7.1,False,False,1.0,1.0
BBOHPBJORQIKDS,training_pool,1,5.92,5.92,5.92,False,False,0.0,1.0
BBVRYNOHSCGZRP,training_pool,1,5.04,5.04,5.04,False,False,0.0,1.0
BBYSLDLSLKRDFY,training_pool,1,4.4,4.4,4.4,False,False,0.0,0.0
BCJNNDQKUPBJIG,training_pool,1,5.35,5.35,5.35,False,False,0.0,1.0
BCTBMFSBWYHUIJ,training_pool,1,4.13,4.13,4.13,False,False,0.0,0.0
BEAMWMXOENPANF,training_pool,1,5.51,5.51,5.51,False,False,0.0,1.0
BEBUXPXGISJGLB,training_pool,1,4.27,4.27,4.27,False,False,0.0,0.0
BELOOOVTNYOWCO,training_pool,1,4.4,4.4,4.4,False,False,0.0,0.0
BFMZEGLJNQXWAI,training_pool,1,4.54,4.54,4.54,False,False,0.0,0.0
BGOVOFKQWOWYIN,training_pool,1,5.72,5.72,5.72,False,False,0.0,1.0
BGRMBRVQUPSOJL,training_pool,1,6.0,6.0,6.0,False,False,1.0,1.0
BHAFHAMADYHYPJ,training_pool,1,4.21,4.21,4.21,False,False,0.0,0.0
BHEBXCRPZLSIDX,training_pool,1,5.38,5.38,5.38,False,False,0.0,1.0
BHHFSNCTZVVISM,training_pool,1,5.23,5.23,5.23,False,False,0.0,1.0
BIHONVMOJSPPFL,training_pool,1,4.77,4.77,4.77,False,False,0.0,0.0
BIKVSCVPZGXPRO,training_pool,1,6.43,6.43,6.43,False,False,1.0,1.0
BIOCOYIPJQMGTN,training_pool,1,7.33,7.33,7.33,False,False,1.0,1.0
BIRLOYXSRCPMQG,training_pool,1,5.82,5.82,5.82,False,False,0.0,1.0
BIXWNJAOOLPDOM,training_pool,1,5.0,5.0,5.0,False,False,0.0,1.0
BJADJOFIXMFPRE,training_pool,1,5.02,5.02,5.02,False,False,0.0,1.0
BJSHRSBHYAVRGG,training_pool,1,5.94,5.94,5.94,False,False,0.0,1.0
BKAIDULGUXNMAB,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
BKFJGWJMNRLCOI,training_pool,1,5.33,5.33,5.33,False,False,0.0,1.0
BMGAUIUJEJQJTO,training_pool,1,5.6,5.6,5.6,False,False,0.0,1.0
BMIPCEAXHCNRNV,training_pool,1,4.82,4.82,4.82,False,False,0.0,0.0
BMKMNIYHCFBKMM,training_pool,1,4.25,4.25,4.25,False,False,0.0,0.0
BMSVTUXQNZVYTR,training_pool,1,4.91,4.91,4.91,False,False,0.0,0.0
BMXYLFDEBQVEJR,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
BNBASDDWNLWQCH,training_pool,1,5.05,5.05,5.05,False,False,0.0,1.0
BNDJAGQGLAJXIC,training_pool,1,4.91,4.91,4.91,False,False,0.0,0.0
BNJPDXSGSITYAN,training_pool,1,5.39,5.39,5.39,False,False,0.0,1.0
BOEJXBGCXOGVPM,training_pool,1,5.55,5.55,5.55,False,False,0.0,1.0
BOYUPSDAYQVTDE,training_pool,1,5.24,5.24,5.24,False,False,0.0,1.0
BPEWTNBEERMQHK,training_pool,1,5.28,5.28,5.28,False,False,0.0,1.0
BPIWZDNVMQQBQX,training_pool,1,5.57,5.57,5.57,False,False,0.0,1.0
BPJJUNOJJPFGCB,training_pool,1,6.32,6.32,6.32,False,False,1.0,1.0
BPNCIVZQFUIDBP,training_pool,1,5.8,5.8,5.8,False,False,0.0,1.0
BQJIFVOOSUPULW,training_pool,1,4.08,4.08,4.08,False,False,0.0,0.0
BQQUXECVVCRHDK,training_pool,1,5.43,5.43,5.43,False,False,0.0,1.0
BREBAPWKZBSKLD,training_pool,1,4.81,4.81,4.81,False,False,0.0,0.0
BRWDKJBTMKFKLU,training_pool,1,5.04,5.04,5.04,False,False,0.0,1.0
BSLAOCJVMOGUKX,training_pool,1,4.21,4.21,4.21,False,False,0.0,0.0
BSYNRYMUTXBXSQ,training_pool,6,5.16,4.0,6.46,True,True,,
BTCFFMPDIBWZLF,training_pool,1,6.1,6.1,6.1,False,False,1.0,1.0
BTVCUBHJRIGKQW,training_pool,1,5.52,5.52,5.52,False,False,0.0,1.0
BUCJUMIAUUHQKH,training_pool,1,5.1,5.1,5.1,False,False,0.0,1.0
BUJXQQWRTSOLOU,training_pool,1,5.44,5.44,5.44,False,False,0.0,1.0
BURSRWZPRFNCOA,training_pool,1,5.73,5.73,5.73,False,False,0.0,1.0
BVHCPVREOGFUNX,training_pool,1,4.8,4.8,4.8,False,False,0.0,0.0
BVQAEEMZQBCHCW,training_pool,1,5.41,5.41,5.41,False,False,0.0,1.0
BVTKIDUJDDUWNM,training_pool,1,6.69,6.69,6.69,False,False,1.0,1.0
BVZXSBMLTOYNIL,training_pool,1,9.0,9.0,9.0,False,False,1.0,1.0
BWCJJGGZRYKPID,training_pool,1,6.21,6.21,6.21,False,False,1.0,1.0
BWPQTVZCMXKOKH,training_pool,1,4.47,4.47,4.47,False,False,0.0,0.0
BYVMLUTZTHOPKN,training_pool,1,6.29,6.29,6.29,False,False,1.0,1.0
BZDNZDCNMJTHQZ,training_pool,1,4.42,4.42,4.42,False,False,0.0,0.0
BZLAZSCSSCESCS,training_pool,1,6.25,6.25,6.25,False,False,1.0,1.0
BZOBGQWGXDLWEF,training_pool,1,5.95,5.95,5.95,False,False,0.0,1.0
BZYLEJKXQKMYAI,training_pool,1,4.44,4.44,4.44,False,False,0.0,0.0
CADYKNKPEWDIGJ,training_pool,1,7.15,7.15,7.15,False,False,1.0,1.0
CBBRCRGHYBDUFY,training_pool,2,6.01,5.5,6.52,True,False,,1.0
CBPIQQDZRVMUPW,training_pool,1,4.44,4.44,4.44,False,False,0.0,0.0
CBXFUGGFUHJDAX,training_pool,1,4.82,4.82,4.82,False,False,0.0,0.0
CCJUIADWUOKEND,training_pool,1,7.29,7.29,7.29,False,False,1.0,1.0
CCVDPDRPPMKLTE,training_pool,2,6.255,5.66,6.85,True,False,,1.0
CDMGBJANTYXAIV,training_pool,1,5.7,5.7,5.7,False,False,0.0,1.0
CDMHSMOZNZFYIK,training_pool,1,4.09,4.09,4.09,False,False,0.0,0.0
CDNINLNBPIYEHO,training_pool,1,4.9,4.9,4.9,False,False,0.0,0.0
CDUKBWNKUSEEJJ,training_pool,1,7.35,7.35,7.35,False,False,1.0,1.0
CEQHIICDXXLRLM,training_pool,1,6.46,6.46,6.46,False,False,1.0,1.0
CEWVXPZMZGBSJN,training_pool,1,6.32,6.32,6.32,False,False,1.0,1.0
CFRFWENQINXUII,training_pool,1,6.3,6.3,6.3,False,False,1.0,1.0
CGIGDMFJXJATDK,training_pool,40,6.9399999999999995,4.91,9.85,True,True,,
CHEJRRFLVQYEME,training_pool,1,4.84,4.84,4.84,False,False,0.0,0.0
CHPZLYNWDORWQT,training_pool,1,7.7,7.7,7.7,False,False,1.0,1.0
CHUNHRFIWQZFCI,training_pool,1,4.52,4.52,4.52,False,False,0.0,0.0
CHVDZCLOELVALQ,training_pool,1,4.0,4.0,4.0,False,False,0.0,0.0
CIMZKNZIVLVJNK,training_pool,1,4.31,4.31,4.31,False,False,0.0,0.0
CIWATJKMNLQEKA,training_pool,1,5.07,5.07,5.07,False,False,0.0,1.0
CJAWPKAYKMKKAD,training_pool,1,5.88,5.88,5.88,False,False,0.0,1.0
CJCPRVUKZFMQGA,training_pool,1,4.36,4.36,4.36,False,False,0.0,0.0
CJQBFAVDDWNVHT,training_pool,1,5.72,5.72,5.72,False,False,0.0,1.0
CKAGNYHIHXYZET,training_pool,1,5.81,5.81,5.81,False,False,0.0,1.0
CKFRDEQBDGYQLW,training_pool,1,4.8,4.8,4.8,False,False,0.0,0.0
CKXSRLUXTFDZCF,training_pool,1,5.4,5.4,5.4,False,False,0.0,1.0
CKYMQKPEKCVHMI,training_pool,1,4.34,4.34,4.34,False,False,0.0,0.0
CKYRQRCQUDZFGL,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
CMLFLJYYVZMZEF,training_pool,1,5.6,5.6,5.6,False,False,0.0,1.0
CMWTZPSULFXXJA,training_pool,6,5.98,4.96,7.21,True,True,,
CNOMOEITTQLGJX,training_pool,1,4.48,4.48,4.48,False,False,0.0,0.0
COAQKUPDYYYTMU,training_pool,1,4.05,4.05,4.05,False,False,0.0,0.0
COBVPYXANNBBCS,training_pool,1,4.36,4.36,4.36,False,False,0.0,0.0
COJFTSPNCFGILB,training_pool,1,5.55,5.55,5.55,False,False,0.0,1.0
COJVSUCMGPNJHG,training_pool,1,4.5,4.5,4.5,False,False,0.0,0.0
CQEDUEBRINEBGP,training_pool,2,5.85,5.31,6.39,True,False,,1.0
CQVZYKXHVWHDDF,training_pool,1,7.18,7.18,7.18,False,False,1.0,1.0
CRMFBTQUPQALSY,training_pool,1,5.02,5.02,5.02,False,False,0.0,1.0
CRTFPNCZXZINQK,training_pool,1,7.05,7.05,7.05,False,False,1.0,1.0
CSOISVJKLBMNCK,training_pool,1,4.77,4.77,4.77,False,False,0.0,0.0
CSYDLWAKOSNOAE,training_pool,2,5.5,5.0,6.0,False,False,0.0,1.0
CTGRQQITDNERQV,training_pool,1,6.24,6.24,6.24,False,False,1.0,1.0
CTYTWVYNLUZWIC,training_pool,1,4.3,4.3,4.3,False,False,0.0,0.0
CUJAYBPDKMIWOJ,training_pool,1,4.81,4.81,4.81,False,False,0.0,0.0
CUMCDOPLRDLUMP,training_pool,1,4.66,4.66,4.66,False,False,0.0,0.0
CUVUXNULRBGYON,training_pool,1,4.72,4.72,4.72,False,False,0.0,0.0
CVHYSZGLJBKYOG,training_pool,1,7.7,7.7,7.7,False,False,1.0,1.0
CVPSIMWFHZLLEZ,training_pool,1,4.47,4.47,4.47,False,False,0.0,0.0
CVTWWUQHTBCDEB,training_pool,1,4.25,4.25,4.25,False,False,0.0,0.0
CWBUUUHKRWGIGX,training_pool,1,6.75,6.75,6.75,False,False,1.0,1.0
CWGPKADKUXFWDR,training_pool,1,4.39,4.39,4.39,False,False,0.0,0.0
CXCYSZHREGZWQZ,training_pool,1,6.16,6.16,6.16,False,False,1.0,1.0
CZNSBVHKDJILOR,training_pool,1,4.54,4.54,4.54,False,False,0.0,0.0
DADHJCHABCTJSK,training_pool,1,4.96,4.96,4.96,False,False,0.0,0.0
DAEKZKUAFVMFKP,training_pool,1,5.16,5.16,5.16,False,False,0.0,1.0
DAQHOGIVJRTPRJ,training_pool,1,4.31,4.31,4.31,False,False,0.0,0.0
DARUDEIEANYQOK,training_pool,1,6.54,6.54,6.54,False,False,1.0,1.0
DBARNAJNBUVQQY,training_pool,1,5.16,5.16,5.16,False,False,0.0,1.0
DBOGUXGEJXYHPC,training_pool,1,4.58,4.58,4.58,False,False,0.0,0.0
DBTIALADKQUNTD,training_pool,1,5.64,5.64,5.64,False,False,0.0,1.0
DBYDCJSATBOJOK,training_pool,1,4.51,4.51,4.51,False,False,0.0,0.0
DCCWOUMTBFRHCJ,training_pool,1,5.96,5.96,5.96,False,False,0.0,1.0
DCNFOZPTCDBWRR,training_pool,1,4.52,4.52,4.52,False,False,0.0,0.0
DCOPUUMXTXDBNB,training_pool,10,7.41,4.74,8.52,True,True,,
DDLFHUMKBIUTAS,training_pool,1,5.0,5.0,5.0,False,False,0.0,1.0
DESBNISDYNFRCI,training_pool,1,6.52,6.52,6.52,False,False,1.0,1.0
DFAGWXVWJYTEEG,training_pool,1,5.31,5.31,5.31,False,False,0.0,1.0
DFJVUELGIACRGE,training_pool,1,6.08,6.08,6.08,False,False,1.0,1.0
DFOLAJVGZPYPKL,training_pool,1,4.76,4.76,4.76,False,False,0.0,0.0
DFQGDHBGRSTTHX,training_pool,1,4.24,4.24,4.24,False,False,0.0,0.0
DFSTZAKEISRAOK,training_pool,1,4.55,4.55,4.55,False,False,0.0,0.0
DFXUDLIGCVSXJI,training_pool,1,4.53,4.53,4.53,False,False,0.0,0.0
DGMFCHKURLYHIZ,training_pool,1,4.97,4.97,4.97,False,False,0.0,0.0
DGVMYPWWHNIECE,training_pool,1,6.8,6.8,6.8,False,False,1.0,1.0
DHEMTWWLRLOBKI,training_pool,1,5.4,5.4,5.4,False,False,0.0,1.0
